Hour,Pb,Ps,Pc,Pd,SOC,Benefit,npv
1,31.30745205479441,0.0,0.0,0.0,100.0,-20246.595491929933,339341.41897097975
2,20.89895890410968,0.0,0.0,0.0,100.0,-20246.595491929933,339341.41897097975
3,17.653808219178103,0.0,0.0,0.0,100.0,-20246.595491929933,339341.41897097975
4,17.394958904109668,0.0,0.0,0.0,100.0,-20246.595491929933,339341.41897097975
5,17.18298630136998,0.0,0.0,0.0,100.0,-20246.595491929933,339341.41897097975
6,16.905041095890457,0.0,0.0,0.0,100.0,-20246.595491929933,339341.41897097975
7,0.0,10.048826804794562,0.0,0.0,100.0,-20246.595491929933,339341.41897097975
8,0.0,94.0446041598172,0.0,0.0,100.0,-20246.595491929933,339341.41897097975
9,0.0,7.295766158675633,0.0,0.0,100.0,-20246.595491929933,339341.41897097975
10,0.0,0.0,60.192606386986,0.0,155.979123939897,-20246.595491929933,339341.41897097975
11,0.0,0.0,120.64990789269345,0.0,268.1835382801019,-20246.595491929933,339341.41897097975
12,119.57084821545928,0.0,263.2781159848657,0.0,513.032186146027,-20246.595491929933,339341.41897097975
13,71.49778492694043,0.0,400.0,0.0,885.032186146027,-20246.595491929933,339341.41897097975
14,282.6616145399545,0.0,400.0,0.0,1257.032186146027,-20246.595491929933,339341.41897097975
15,338.055153,0.0,383.2671594280821,0.0,1613.4706444141434,-20246.595491929933,339341.41897097975
16,338.055153,0.0,308.09608127511456,0.0,1900.0,-20246.595491929933,339341.41897097975
17,111.75630751484059,0.0,0.0,0.0,1900.0,-20246.595491929933,339341.41897097975
18,124.92077108333342,0.0,0.0,0.0,1900.0,-20246.595491929933,339341.41897097975
19,0.0,0.0,0.0,145.2123287671229,1750.2965682813165,-20246.595491929933,339341.41897097975
20,0.0,247.53432876712293,0.0,400.0,1337.9254342606978,-20246.595491929933,339341.41897097975
21,0.0,265.512328767123,0.0,400.0,925.5543002400791,-20246.595491929933,339341.41897097975
22,0.0,358.557397260274,0.0,400.0,513.1831662194604,-20246.595491929933,339341.41897097975
23,0.0,335.36391780821907,0.0,368.8668767123286,132.9080355881938,-20246.595491929933,339341.41897097975
24,0.0,0.0,0.0,31.92079452054797,100.0,-20246.595491929933,339341.41897097975
