Day,Pb_Sum,Ppv_Sum,Pd_Sum,Ppvmax_Sum,Ps_Sum,Pc_Sum,SOC_Avg,Benefit,npv
1,419.51570629774176,1758.972759863,3161.270003736,1758.972759863,3052.414582806,1935.483870967742,838.8750820917381,-35076.69159876786,274025.26392705855
2,2102.433781071435,1694.283448588,1961.856117868565,1694.283448588,0.0,1808.143356174,968.1022436152979,-35076.69159876786,274025.26392705855
3,2418.473878324742,1971.352009294,1526.758468631,1971.352009294,0.0,2355.5343325097424,1303.9804369551987,-35076.69159876786,274025.26392705855
4,2671.5524409383283,1855.2262969020003,1954.800161849027,1855.2262969020003,0.0,1503.8588949373561,1087.2295818534783,-35076.69159876786,274025.26392705855
5,3921.821654630098,1777.1217630980002,2537.6945331801444,1777.1217630980002,740.1412501991449,2813.096700122099,641.9172844113835,-35076.69159876786,274025.26392705855
6,465.0560837387891,1839.612338314,1047.223658050992,1839.612338314,988.3323580839921,1990.5997106617892,852.644967716191,-35076.69159876786,274025.26392705855
7,0.0,1479.500323235,213.420003687,1479.500323235,99.355979779,1244.644339663,1279.44603800887,-35076.69159876786,274025.26392705855
8,2104.175246248168,1623.5522574709998,2276.048009407475,1623.5522574709998,0.0,685.2655064266434,1287.9607673532876,-35076.69159876786,274025.26392705855
9,4144.400262081293,1587.6818988830003,2245.6869269424496,1587.6818988830003,0.0,2489.3990987057423,1088.1670420222179,-35076.69159876786,274025.26392705855
10,3071.9784395235147,1583.43446353,1937.0999693432266,1583.43446353,0.0,2147.322879218742,705.7339558270247,-35076.69159876786,274025.26392705855
11,3850.5945272168387,2062.909201275,2439.8343583789997,2062.909201275,0.0,3038.7280759738387,990.7711843892608,-35076.69159876786,274025.26392705855
12,3056.1154749682846,2048.5287732350002,2143.07282484,2048.5287732350002,0.0,2041.5370644972845,1030.052123130746,-35076.69159876786,274025.26392705855
13,1287.0526951933225,1933.595266628,1339.309231171,1933.595266628,0.0,1484.6571679093217,375.1703421487593,-35076.69159876786,274025.26392705855
14,204.50040556611637,1742.077053098,171.810000153,1742.077053098,0.0,1138.3874557471165,555.3438696397772,-35076.69159876786,274025.26392705855
15,1435.2340853016644,1798.2310650790002,1960.450347307203,1798.2310650790002,0.0,1225.2754945468678,1074.8510584176158,-35076.69159876786,274025.26392705855
16,2376.8361893837864,1922.456940274,1977.185032779955,1922.456940274,0.0,2191.758156279742,993.1009326463392,-35076.69159876786,274025.26392705855
17,2066.1338742647417,1791.488713804,1966.3397482297994,1791.488713804,205.9964339987992,2179.735892062742,1113.3825171347337,-35076.69159876786,274025.26392705855
18,5743.483935413207,1899.7062252160001,2666.2182822345326,1899.7062252160001,0.0,2955.5684316977413,1214.1370992828809,-35076.69159876786,274025.26392705855
19,6227.157276379,1858.404311549,2403.830377147,1858.404311549,0.0,3314.291953072,859.1372118754058,-35076.69159876786,274025.26392705855
20,3559.8845321000936,1877.5391823920002,2099.874956420765,1877.5391823920002,845.5426671969997,1678.1759923528596,1395.032841636422,-35076.69159876786,274025.26392705855
21,899.4788697730585,1987.0611997049998,1646.3302052254435,1987.0611997049998,1518.0728019034434,1824.9974561860583,551.0713502477512,-35076.69159876786,274025.26392705855
22,2412.4278703696964,1841.8751614120001,2176.3094787829996,1841.8751614120001,0.0,2412.492493939696,1083.8543477150843,-35076.69159876786,274025.26392705855
23,3395.922126775142,2180.0941515490003,2185.7383254949996,2180.0941515490003,122.00999702800004,2422.9446020341425,1234.3829674171145,-35076.69159876786,274025.26392705855
