Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,SpotPrice,npv
1,0.0,0.0,400.0,0.0,386.279999167,0.0,1487.6288659793813,0.06333,274025.26392705855
2,0.0,0.0,400.0,0.0,385.700000341,0.0,1075.2577319587626,0.05009,274025.26392705855
3,0.0,0.0,400.0,0.0,386.240001583,0.0,662.886597938144,0.0475,274025.26392705855
4,0.0,0.0,400.0,0.0,385.529999323,0.0,250.51546391752532,0.0435,274025.26392705855
5,0.0,0.0,13.890001850999997,0.0,0.0,0.0,236.1958743804119,0.0425,274025.26392705855
6,0.0,0.0,14.180001264,0.0,0.0,0.0,221.5773163762882,0.04209,274025.26392705855
7,0.0,0.0,13.790002248,0.0,0.0,0.0,207.36081921340158,0.0425,274025.26392705855
8,0.0,0.0,13.640000021999997,0.0,0.0,0.0,193.2989635206181,0.04259,274025.26392705855
9,0.0,0.0,90.49999461499954,0.0,76.05999212599954,0.0,100.0,0.04337,274025.26392705855
10,0.0,48.299116059,0.0,48.299116059,33.109113726000004,0.0,100.0,0.04229,274025.26392705855
11,0.0,147.640826059,0.0,147.640826059,0.0,132.050825314,222.80726754202,0.025,274025.26392705855
12,0.0,217.664062255,0.0,217.664062255,0.0,203.224059766,411.80564312440004,0.0039,274025.26392705855
13,162.24050141774183,251.472245353,0.0,251.472245353,0.0,398.52274443774184,782.4317954515,0.0032,274025.26392705855
14,122.39322637799995,293.44677619600003,0.0,293.44677619600003,0.0,400.0,1154.4317954515,0.00206,274025.26392705855
15,134.88197850199998,280.27802,0.0,280.27802,0.0,400.0,1526.4317954515,0.00173,274025.26392705855
16,0.0,246.199711549,0.0,246.199711549,0.0,230.6197102,1740.9081259375,0.00572,274025.26392705855
17,0.0,186.556532392,0.0,186.556532392,0.0,171.06653125,1900.0,0.01849,274025.26392705855
18,0.0,87.41547,0.0,87.41547,72.55547030700001,0.0,1900.0,0.037,274025.26392705855
19,0.0,0.0,15.159998501999999,0.0,0.0,0.0,1884.3711355649484,0.0475,274025.26392705855
20,0.0,0.0,400.0,0.0,385.09999708,0.0,1472.0000015443297,0.05497,274025.26392705855
21,0.0,0.0,400.0,0.0,384.460001878,0.0,1059.628867523711,0.0609,274025.26392705855
22,0.0,0.0,400.0,0.0,385.130000911,0.0,647.2577335030924,0.06,274025.26392705855
23,0.0,0.0,186.2500072139998,0.0,172.25000636399977,0.0,455.24741678762865,0.0475,274025.26392705855
24,0.0,0.0,13.859998019999999,0.0,0.0,0.0,440.95875903505134,0.04209,274025.26392705855
25,0.0,0.0,13.679997605999999,0.0,0.0,0.0,426.8556687195874,0.0378,274025.26392705855
26,0.0,0.0,14.409998658,0.0,0.0,0.0,412.0,0.025,274025.26392705855
27,413.829999832,0.0,0.0,0.0,0.0,400.0,784.0,0.00399,274025.26392705855
28,414.399999262,0.0,0.0,0.0,0.0,400.0,1156.0,0.014,274025.26392705855
29,413.759998417,0.0,0.0,0.0,0.0,400.0,1528.0,0.01,274025.26392705855
30,414.03999843400027,0.0,0.0,0.0,0.0,400.0,1900.0,0.01454,274025.26392705855
31,13.859998019999999,0.0,0.0,0.0,0.0,0.0,1900.0,0.03629,274025.26392705855
32,22.609999962,0.0,0.0,0.0,0.0,0.0,1900.0,0.0447,274025.26392705855
33,0.0,0.0,183.470001264,0.0,0.0,0.0,1710.8556687999999,0.05378,274025.26392705855
34,0.0,53.113753941,155.926249077,53.113753941,0.0,0.0,1550.10695841134,0.05423,274025.26392705855
35,0.0,153.193067745,112.59693287399995,153.193067745,0.0,0.0,1434.0276461701028,0.05,274025.26392705855
36,0.0,223.566089294,263.583909448,223.566089294,0.0,0.0,1162.2916570484533,0.0522,274025.26392705855
37,0.0,252.093353804,0.0,252.093353804,0.0,208.14335617400002,1355.8649782902733,0.045,274025.26392705855
38,0.0,303.574676902,107.00532505099994,303.574676902,0.0,0.0,1245.550210196459,0.043,274025.26392705855
39,134.74302653043478,256.684285353,86.76268631456517,256.684285353,0.0,0.0,1156.1041418309278,0.043,274025.26392705855
40,256.900759302,217.279238451,0.0,217.279238451,0.0,0.0,1156.1041418309278,0.04099,274025.26392705855
41,0.0,153.650963098,302.9090380189999,153.650963098,0.0,0.0,843.8267830484535,0.04366,274025.26392705855
42,0.0,81.12802,291.761978657,81.12802,0.0,0.0,543.0412380412371,0.0522,274025.26392705855
43,0.0,0.0,154.46999789099996,0.0,0.0,0.0,383.7938175350516,0.05777,274025.26392705855
44,0.0,0.0,154.900000134,0.0,0.0,0.0,224.10309574742269,0.06245,274025.26392705855
45,0.0,0.0,79.239999168,0.0,0.0,0.0,142.4123749556701,0.058,274025.26392705855
46,0.0,0.0,22.210001549999998,0.0,0.0,0.0,119.51546614123711,0.05283,274025.26392705855
47,0.0,0.0,18.930002156999997,0.0,0.0,0.0,100.0,0.04626,274025.26392705855
48,18.290001311999998,0.0,0.0,0.0,0.0,0.0,100.0,0.0401,274025.26392705855
49,18.360002726999998,0.0,0.0,0.0,0.0,0.0,100.0,0.0068,274025.26392705855
50,418.46000233,0.0,0.0,0.0,0.0,400.0,472.0,0.0032,274025.26392705855
51,353.9438732977419,0.0,0.0,0.0,0.0,335.4838709677419,784.0,0.0032,274025.26392705855
52,418.529998102,0.0,0.0,0.0,0.0,400.0,1156.0,0.0032,274025.26392705855
53,418.329998896,0.0,0.0,0.0,0.0,400.0,1528.0,0.0032,274025.26392705855
54,418.249998085,0.0,0.0,0.0,0.0,400.0,1900.0,0.00221,274025.26392705855
55,18.360002726999998,0.0,0.0,0.0,0.0,0.0,1900.0,0.00478,274025.26392705855
56,28.080002511,0.0,0.0,0.0,0.0,0.0,1900.0,0.04542,274025.26392705855
57,326.159999649,0.0,0.0,0.0,0.0,0.0,1900.0,0.06192,274025.26392705855
58,0.0,64.137080843,300.65292175599996,64.137080843,0.0,0.0,1590.048534272165,0.067,274025.26392705855
59,0.0,186.64128380399998,88.21871635799997,186.64128380399998,0.0,0.0,1499.1014040061855,0.0636,274025.26392705855
60,0.0,263.512584647,15.877418410000018,263.512584647,0.0,0.0,1482.7329314185565,0.0571,274025.26392705855
61,0.0,307.378292255,0.0,307.378292255,0.0,272.058292529,1735.7471434705267,0.055,274025.26392705855
62,0.0,323.618450706,0.0,323.618450706,0.0,106.61844881699997,1834.9023008703366,0.05542,274025.26392705855
63,0.0,301.61372309800004,0.0,301.61372309800004,0.0,41.37372019600008,1873.3798606526166,0.061,274025.26392705855
64,0.0,248.19211,22.677888508999956,248.19211,0.0,0.0,1850.0005941484928,0.06603,274025.26392705855
65,0.0,184.855222392,240.344776821,184.855222392,0.0,0.0,1602.2224737144722,0.06752,274025.26392705855
66,0.0,91.403261549,362.69674143399993,91.403261549,0.0,0.0,1228.3083072876682,0.08957,274025.26392705855
67,0.0,0.0,156.10000101299997,0.0,0.0,0.0,1067.380471191792,0.0942,274025.26392705855
68,0.0,0.0,158.17999952699998,0.0,0.0,0.0,904.3083067309672,0.10435,274025.26392705855
69,0.0,0.0,120.85000270199998,0.0,0.0,0.0,779.7206750794207,0.11326,274025.26392705855
70,0.0,0.0,23.690002445999998,0.0,0.0,0.0,755.2979921454001,0.11326,274025.26392705855
71,0.0,0.0,18.999997928999996,0.0,0.0,0.0,735.7103654144723,0.0942,274025.26392705855
72,0.0,0.0,18.470001726,0.0,0.0,0.0,716.6691265216888,0.08658,274025.26392705855
73,18.499999913999996,0.0,0.0,0.0,0.0,0.0,716.6691265216888,0.09039,274025.26392705855
74,18.539997497999998,0.0,0.0,0.0,0.0,0.0,716.6691265216888,0.087,274025.26392705855
75,90.93878618435613,0.0,0.0,0.0,0.0,72.39878868635614,784.0,0.08021,274025.26392705855
76,418.580000725,0.0,0.0,0.0,0.0,400.0,1156.0,0.0701,274025.26392705855
77,418.499999914,0.0,0.0,0.0,0.0,400.0,1528.0,0.06686,274025.26392705855
