Hour,Pb,Ps,Pc,Pd,SOC,Benefit,npv
1,31.757452054794413,0.0,0.0,0.0,100.0,-16651.908453938977,639839.164954026
2,21.348958904109683,0.0,0.0,0.0,100.0,-16651.908453938977,639839.164954026
3,18.103808219178106,0.0,0.0,0.0,100.0,-16651.908453938977,639839.164954026
4,21.670669130476412,0.0,3.8257102263667404,0.0,103.55791051052107,-16651.908453938977,639839.164954026
5,17.632986301369982,0.0,0.0,0.0,103.55791051052107,-16651.908453938977,639839.164954026
6,17.35504109589046,0.0,0.0,0.0,103.55791051052107,-16651.908453938977,639839.164954026
7,0.0,0.0,0.0,3.4511731952054383,100.0,-16651.908453938977,639839.164954026
8,0.0,0.0,6.877545550742009,0.0,106.39611736219007,-16651.908453938977,639839.164954026
9,0.0,0.0,0.0,6.204233841324367,100.0,-16651.908453938977,639839.164954026
10,0.0,0.0,0.0,0.0,100.0,-16651.908453938977,639839.164954026
11,57.17187688669239,0.0,87.82178477938584,0.0,181.67425984482884,-16651.908453938977,639839.164954026
12,346.29273223059363,0.0,400.0,0.0,553.6742598448288,-16651.908453938977,639839.164954026
13,161.49778492694043,0.0,400.0,0.0,925.6742598448288,-16651.908453938977,639839.164954026
14,372.6616145399545,0.0,400.0,0.0,1297.6742598448288,-16651.908453938977,639839.164954026
15,338.055153,0.0,293.2671594280821,0.0,1570.4127181129452,-16651.908453938977,639839.164954026
16,338.055153,0.0,218.09608127511456,0.0,1773.2420736988017,-16651.908453938977,639839.164954026
17,338.055153,0.0,136.29884548515943,0.0,1900.0,-16651.908453938977,639839.164954026
18,138.42077108333342,0.0,0.0,0.0,1900.0,-16651.908453938977,639839.164954026
19,0.0,0.0,0.0,158.7123287671229,1736.3790425081206,-16651.908453938977,639839.164954026
20,0.0,247.08432876712294,0.0,400.0,1324.007908487502,-16651.908453938977,639839.164954026
21,0.0,265.062328767123,0.0,400.0,911.6367744668833,-16651.908453938977,639839.164954026
22,0.0,358.107397260274,0.0,400.0,499.2656404462646,-16651.908453938977,639839.164954026
23,0.0,294.8639178082191,0.0,341.86687671232863,146.82556136138967,-16651.908453938977,639839.164954026
24,0.0,0.0,0.0,45.42079452054797,100.0,-16651.908453938977,639839.164954026
