Hour,Pb,Ps,Pc,Pd,SOC,Benefit,npv
1,31.757452033835378,0.0,0.0,0.0,100.0,-27359.357829583932,1333926.3162474297
2,34.39895886321071,0.0,0.0,0.0,100.0,-27359.357829583932,1333926.3162474297
3,31.153808125170162,0.0,0.0,0.0,100.0,-27359.357829583932,1333926.3162474297
4,30.894958848159202,0.0,0.0,0.0,100.0,-27359.357829583932,1333926.3162474297
5,30.682986359164133,0.0,0.0,0.0,100.0,-27359.357829583932,1333926.3162474297
6,30.405041169829886,0.0,0.0,0.0,100.0,-27359.357829583932,1333926.3162474297
7,3.4511731820246787,0.0,0.0,0.0,100.0,-27359.357829583932,1333926.3162474297
8,0.0,0.0,4.04460391407423,0.0,103.76148164008903,-27359.357829583932,1333926.3162474297
9,6.204233632661641,0.0,0.0,0.0,103.76148164008903,-27359.357829583932,1333926.3162474297
10,0.0,0.0,0.0,0.0,103.76148164008903,-27359.357829583932,1333926.3162474297
11,0.0,0.0,30.649907772615848,0.0,132.26589586862178,-27359.357829583932,1333926.3162474297
12,0.0,0.0,53.70726769223859,0.0,182.21365482240367,-27359.357829583932,1333926.3162474297
13,0.0,0.0,238.50221516275224,0.0,404.02071492376325,-27359.357829583932,1333926.3162474297
14,0.0,0.0,27.338385577713183,0.0,429.4454135110365,-27359.357829583932,1333926.3162474297
15,0.0,0.0,0.0,0.0,429.4454135110365,-27359.357829583932,1333926.3162474297
16,43.45907143551068,0.0,0.0,0.0,429.4454135110365,-27359.357829583932,1333926.3162474297
17,0.0,0.0,0.0,125.25630766625673,300.3151994221121,-27359.357829583932,1333926.3162474297
18,138.42077118632923,0.0,0.0,0.0,300.3151994221121,-27359.357829583932,1333926.3162474297
19,9.827379898494286,0.0,0.0,148.88494887736098,146.82556140421414,-27359.357829583932,1333926.3162474297
20,165.96567127455555,0.0,0.0,0.0,146.82556140421414,-27359.357829583932,1333926.3162474297
21,147.98767130476813,0.0,0.0,0.0,146.82556140421414,-27359.357829583932,1333926.3162474297
22,54.942602643351556,0.0,0.0,0.0,146.82556140421414,-27359.357829583932,1333926.3162474297
23,47.002958883034836,0.0,0.0,0.0,146.82556140421414,-27359.357829583932,1333926.3162474297
24,0.0,0.0,0.0,45.42079456208772,100.0,-27359.357829583932,1333926.3162474297
