Hour,Pb,Ps,Pc,Pd,SOC,Benefit,npv
1,13.720000833000087,0.0,0.0,1.0505182155214933e-13,158.3310350646093,106698.38453730528,1093373.0752224086
2,14.29999969676061,0.0,3.7760608843462886e-08,0.0,158.3310350997267,106698.38453730528,1093373.0752224086
3,13.759998447320159,0.0,3.0320162483374785e-08,0.0,158.33103512792422,106698.38453730528,1093373.0752224086
4,14.47000071881775,0.0,4.1817749599905606e-08,0.0,158.33103516681467,106698.38453730528,1093373.0752224086
5,13.89000176938598,0.0,0.0,8.161420834805862e-08,158.3310350826764,106698.38453730528,1093373.0752224086
6,14.180001275968428,0.0,1.1968428030130149e-08,0.0,158.33103509380726,106698.38453730528,1093373.0752224086
7,0.0,115.19763957218669,0.0,2.1388480522714223e-08,158.33103507175701,106698.38453730528,1093373.0752224086
8,0.0,392.9781835396017,6.236502324335412e-09,0.0,158.33103507755686,106698.38453730528,1093373.0752224086
9,0.0,599.9999999953919,58.75264050322324,0.0,212.97099074555445,106698.38453730528,1093373.0752224086
10,0.0,599.9999999953461,276.6674049365859,0.0,470.27167733657916,106698.38453730528,1093373.0752224086
11,0.0,599.9999999924066,415.0826774120453,0.0,856.2985673297812,106698.38453730528,1093373.0752224086
12,0.0,599.9999999232682,465.3708256318821,0.0,1289.0934351674314,106698.38453730528,1093373.0752224086
13,0.0,599.9999998741954,422.8533985008965,0.0,1682.3470957732661,106698.38453730528,1093373.0752224086
14,0.0,140.24514802564613,746.8283405032452,0.0,2376.8974524412833,106698.38453730528,1093373.0752224086
15,8.301036296528302e-09,0.0,678.9163589062931,0.0,3008.289666224136,106698.38453730528,1093373.0752224086
16,0.0,413.1503498992752,0.0,4.518720332703053e-09,3008.2896662194803,106698.38453730528,1093373.0752224086
17,0.0,135.60980685178123,0.0,7.761126440945705e-09,3008.2896662114767,106698.38453730528,1093373.0752224086
18,0.0,1.5572448036556922e-08,0.0,14.859999708572447,2992.970078883052,106698.38453730528,1093373.0752224086
19,0.0,271.774235130764,0.0,286.934233632764,2697.161590601852,106698.38453730528,1093373.0752224086
20,0.0,599.9999999838828,0.0,614.9000029038828,2063.244061834963,106698.38453730528,1093373.0752224086
21,0.0,599.9999999896839,0.0,615.539998111684,1428.6667441940513,106698.38453730528,1093373.0752224086
22,0.0,599.9999999891489,0.0,614.8699990781489,794.7801472062688,106698.38453730528,1093373.0752224086
23,0.0,256.77967735514267,0.0,270.77967820514266,515.6258397782867,106698.38453730528,1093373.0752224086
24,0.0,2.8303897189468363e-08,0.0,13.859998048303899,501.33718199653003,106698.38453730528,1093373.0752224086
25,7.357782163714232e-09,0.0,0.0,13.67999759864241,487.23409168865146,106698.38453730528,1093373.0752224086
26,0.0,7.897704340867122e-09,0.0,14.409998665897705,472.37842296092185,106698.38453730528,1093373.0752224086
27,542.7876803156785,0.0,528.9576804836785,0.0,964.309065810743,106698.38453730528,1093373.0752224086
28,542.787680298663,0.0,528.3876810366629,0.0,1455.7096091748394,106698.38453730528,1093373.0752224086
29,542.7876803108061,0.0,529.0276818938061,0.0,1947.705353336079,106698.38453730528,1093373.0752224086
30,542.7876802953704,0.0,528.7476818613704,0.0,2439.4406974671533,106698.38453730528,1093373.0752224086
31,0.0,1.8278635062281433e-08,112.670735744741,0.0,2544.2244817097626,106698.38453730528,1093373.0752224086
32,0.0,380.32282225973825,6.678008233593411e-08,0.0,2544.224481771868,106698.38453730528,1093373.0752224086
33,0.0,599.9999999804306,0.0,111.50581152035666,2429.270036905521,106698.38453730528,1093373.0752224086
